building_density,road_connectivity,public_transport_access,air_quality_index,green_cover_percentage,carbon_footprint,population_density,crime_rate,avg_income,renewable_energy_usage,disaster_risk_index,land_use_type_Commercial,land_use_type_Green Space,land_use_type_Industrial,land_use_type_Residential,urban_sustainability_score
0.3679147242063675,0.3938214450580643,0.4281290525819138,0.4148296593186372,0.2385545144773198,0.921949582419526,0.1264486754966887,0.5471597535732381,0.9324121769955832,0.3823578426546756,0.4462417075961725,0.0,0.0,1.0,0.0,0.2592390247903819
0.414306184403348,0.6084451562115015,0.6584809301375267,0.4909819639278556,0.917681394236568,0.1782132300078117,0.3251241721854305,0.764042447644549,0.9032413590936434,0.3771665974038173,0.9368240670057362,0.0,1.0,0.0,0.0,0.576923479997667
0.8279020716448225,0.4446794902963303,0.2638534124924774,0.2645290581162324,0.0778827508037906,0.2951593395022619,0.0421495584988962,0.5757364754761933,0.2080981429330867,0.2379489953446957,0.4630543748548358,0.0,0.0,0.0,1.0,0.2528439852611046
0.7339359024347486,0.742708485382622,0.012021672055786,0.4869739478957915,0.4273026618672496,0.9759000593690826,0.6638383002207505,0.8267265319119763,0.2589509211779012,0.8765385546701249,0.2042933487863778,0.0,0.0,1.0,0.0,0.4090016517884325
0.7696426239205064,0.2282683708862244,0.5190815919637554,0.9458917835671342,0.5323206356992031,0.3708558578423809,0.4299116997792495,0.1275424562956581,0.1803943445643049,0.6790059855054328,0.1514206593348114,0.0,0.0,1.0,0.0,0.686376276141097
0.0110246341020302,0.0582624461149231,0.6059366891367622,0.5871743486973947,0.8987350497705653,0.0219662749699705,0.38810706401766,0.4357891199420678,0.1960134062192479,0.279965717156554,0.9940211488048988,0.0,1.0,0.0,0.0,0.5996377771293788
0.41633134934035,0.2999224293453556,0.9631833123465228,0.9719438877755512,0.9977706614350657,0.1471407706211202,0.0602924944812362,0.6097071010022415,0.9081270156707356,0.2421344781191377,0.3339293085821219,0.0,0.0,0.0,1.0,0.758092757462941
0.4815511080991564,0.4744378752661796,0.5896418169841288,0.8677354709418837,0.7533824893693811,0.0257461237935064,0.7426186534216335,0.6763375149571402,0.9314128396358992,0.0178919745598059,0.1600820927655239,0.0,0.0,0.0,1.0,0.6033381534832838
0.019189352719449,0.1679100717034471,0.4712986476350514,0.0741482965931863,0.9708566155570796,0.9900443349944048,0.64314293598234,0.6961353212258713,0.051794349624567,0.3466310208179993,0.0084047110182211,0.0,0.0,1.0,0.0,0.5971462099726539
0.2599195596665477,0.3548331696766502,0.5735665372637279,0.7174348697394789,0.7871065559223414,0.2784653330067204,0.9009381898454746,0.7293363449081449,0.5937332428002471,0.5268805084255997,0.2856257721098225,1.0,0.0,0.0,0.0,0.6666966780773169
0.7606234593183406,0.40005418534072,0.928200167846296,0.1102204408817635,0.9632657789914651,0.9236147785593926,0.0461506622516556,0.6517495453110574,0.5643488285157234,0.2777366008257531,0.8893028429541406,0.0,0.0,1.0,0.0,0.4815058224270696
0.1371603323697219,0.0571954699796334,0.8286398883443336,0.6372745490981964,0.7072499861100283,0.9960118854956628,0.1123068432671081,0.0941799885071757,0.3905902779763383,0.7006257780231308,0.5341192418143724,0.0,0.0,1.0,0.0,0.6075085791878729
0.5355415958998038,0.5835215791732654,0.3230485426652959,0.751503006012024,0.0795370294911565,0.5996734624142964,0.5130380794701986,0.6956543751203578,0.6318438495772809,0.4118201613449776,0.6325662534468219,0.0,0.0,1.0,0.0,0.1978370184191342
0.2152879632510227,0.884792848049125,0.2372916177698496,0.094188376753507,0.4017993730894587,0.0326088168545183,0.7938741721854304,0.7251508133526102,0.9476497301760074,0.3163564495409134,0.9225849976745548,0.0,0.0,1.0,0.0,0.3390998628828216
0.0121146391048876,0.1516202211085465,0.2626805046509362,0.2084168336673346,0.6465566591555145,0.0810399807723806,0.9887555187637967,0.9940254698915164,0.1702028510943884,0.9393052166539946,0.5129452621736887,0.0,1.0,0.0,0.0,0.6381839943261751
0.2412993562240842,0.5980336685167444,0.5045597546097703,0.9478957915831664,0.3505809149675838,0.4813337016571957,0.0246964679911699,0.6937098513997578,0.1203374594368479,0.2628215334928027,0.8384555538069166,0.0,0.0,0.0,1.0,0.2722984927466952
0.9763052958869184,0.665017128802653,0.7442791688123296,0.1162324649298597,0.2732209783723092,0.4058607946504032,0.5084850993377483,0.6871734983604965,0.0332797266934993,0.3983237255456109,0.3238977567148681,0.0,1.0,0.0,0.0,0.425906869499369
0.8018894800260774,0.4194209598181135,0.5033574656625571,0.1523046092184368,0.5773359638718967,0.606014240477098,0.729994481236203,0.5150428366769602,0.3638644595672276,0.3823515366843393,0.9773075857259989,0.0,1.0,0.0,0.0,0.3643788778107235
